playerId,baseballReferenceId,franchiseId,season,battingWar,opsPlus,pitchingWar,eraPlus,sourceLabel,battingSourceUrl,pitchingSourceUrl,verifiedAt
birddo01,birddo01,nyy,1980,,,1.3,148,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
brownbo04,brownbo04,nyy,1980,1.4,98,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
ceronri01,ceronri01,nyy,1980,4.2,107,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
davisro02,davisro02,nyy,1980,,,2.2,133,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
dentbu01,dentbu01,nyy,1980,4,89,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
doylebr01,doylebr01,nyy,1980,-0.7,29,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
figueed01,figueed01,nyy,1980,,,-1,57,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
gamblos01,gamblos01,nyy,1980,1.9,158,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
gossari01,gossari01,nyy,1980,,,3.4,173,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
griffmi02,griffmi02,nyy,1980,,,-0.3,82,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
guidrro01,guidrro01,nyy,1980,,,3.2,110,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
jacksre01,jacksre01,nyy,1980,4.8,172,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
johnto01,johnto01,nyy,1980,,,4.1,115,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
jonesru01,jonesru01,nyy,1980,0.5,81,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
lefebjo01,lefebjo01,nyy,1980,-0.1,108,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
lollati01,lollati01,nyy,1980,,,0.4,119,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
mayru01,mayru01,nyy,1980,,,4.9,160,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
murcebo01,murcebo01,nyy,1980,0,114,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
nettlgr01,nettlgr01,nyy,1980,1.4,111,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
oatesjo01,oatesjo01,nyy,1980,0.2,39,,,Baseball-Reference daily WAR data,https://www.baseball-reference.com/data/war_daily_bat.txt,https://www.baseball-reference.com/data/war_daily_pitch.txt,2026-07-14
