playerId,franchiseId,decade,season,position,games,gamesStarted
aguaylu01,nyy,1980s,1988,2B,13,7
aguaylu01,nyy,1980s,1988,3B,33,29
aguaylu01,nyy,1980s,1988,SS,6,1
balbost01,nyy,1980s,1982,1B,26,25
balbost01,nyy,1980s,1983,1B,23,23
balbost01,nyy,1980s,1989,1B,20,15
baylodo01,nyy,1980s,1983,1B,1,1
berrada01,nyy,1980s,1985,3B,41,33
berrada01,nyy,1980s,1985,SS,6,0
berrada01,nyy,1980s,1986,3B,18,16
berrada01,nyy,1980s,1986,SS,19,15
bonilju01,nyy,1980s,1987,2B,22,17
bonilju01,nyy,1980s,1987,3B,1,0
bradlsc01,nyy,1980s,1985,C,3,3
brookto01,nyy,1980s,1989,2B,5,1
brookto01,nyy,1980s,1989,3B,51,36
brookto01,nyy,1980s,1989,SS,7,1
campabe01,nyy,1980s,1983,2B,32,17
campabe01,nyy,1980s,1983,3B,24,17
ceronri01,nyy,1980s,1980,C,147,146
ceronri01,nyy,1980s,1981,C,69,64
ceronri01,nyy,1980s,1982,C,89,86
ceronri01,nyy,1980s,1983,3B,1,0
ceronri01,nyy,1980s,1983,C,78,72
ceronri01,nyy,1980s,1984,C,38,36
ceronri01,nyy,1980s,1987,1B,2,0
ceronri01,nyy,1980s,1987,C,111,86
clarkja01,nyy,1980s,1988,1B,10,10
collida02,nyy,1980s,1982,1B,52,37
dentbu01,nyy,1980s,1980,SS,141,141
dentbu01,nyy,1980s,1981,SS,73,73
dentbu01,nyy,1980s,1982,SS,58,50
doylebr01,nyy,1980s,1980,2B,20,12
doylebr01,nyy,1980s,1980,3B,2,0
doylebr01,nyy,1980s,1980,SS,12,11
espinal01,nyy,1980s,1989,SS,146,144
fischmi01,nyy,1980s,1986,2B,27,11
fischmi01,nyy,1980s,1986,SS,42,24
foliti01,nyy,1980s,1984,1B,2,0
foliti01,nyy,1980s,1984,2B,21,13
foliti01,nyy,1980s,1984,3B,10,8
foliti01,nyy,1980s,1984,SS,28,20
footeba01,nyy,1980s,1981,1B,1,1
footeba01,nyy,1980s,1981,C,34,32
footeba01,nyy,1980s,1982,C,17,14
gerenbo01,nyy,1980s,1989,C,60,56
griffke01,nyy,1980s,1983,1B,101,95
griffke01,nyy,1980s,1984,1B,27,26
griffke01,nyy,1980s,1985,1B,1,0
harrato01,nyy,1980s,1984,2B,4,2
harrato01,nyy,1980s,1984,3B,74,62
